+------------------------------------------------------------------------------------------------------+-------------------+------------------+
| substance                                                                                            | allergic_patients | drugs_containing |
| Guaifenesin, Paracetamol, Phenylephrine                                                              |                 0 |                1 |
| Levocarnitine Tartrate                                                                               |                 0 |                3 |
| Ascorbic Acid, Calcium Pantothenate, Cyanocobalamin, Nicotinamide, Riboflavin, Thiamine Nitrate, Pyr |                 0 |                1 |
| Moxifloxacin Hydrochloride                                                                           |                 0 |                5 |
| Cayenne Pepper Soft Extract                                                                          |                 0 |                1 |
| Potassium Gluconate                                                                                  |                 0 |                1 |
| Dexamethasone, Ciprofloxacin                                                                         |                 0 |                1 |
| Sucralfate                                                                                           |                 0 |                1 |
| Ezetimibe, Rosuvastatin Calcium                                                                      |                 0 |                3 |
| Xylometazoline Hydrochloride                                                                         |                 0 |                6 |
| Human Von Willebrand Factor                                                                          |                 0 |                2 |
| Lisinopril Dihydrate                                                                                 |                 0 |                4 |
| Bacitracin, Neomycin                                                                                 |                 0 |                1 |
| Nifedipine, Lidocaine Hydrochloride                                                                  |                 0 |                2 |
| Cetrorelix                                                                                           |                 0 |                1 |
| Pseudoephedrine Hydrochloride, Ibuprofen                                                             |                 0 |                2 |
| Dimeticone, Loperamide Hydrochloride                                                                 |                 0 |                1 |
| Technetium (99mtc)                                                                                   |                 0 |                1 |
| Fluconazole                                                                                          |                 0 |               52 |
| Ibuprofen Lysine                                                                                     |                 0 |                1 |
| Abacavir                                                                                             |                 0 |                1 |
| Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Sodium Acetate Trihydrate       |                 0 |                1 |
| Betamethasone Valerate, Gentamicin Sulfate                                                           |                 0 |                1 |
| Olmesartan Medoxomil, Amlodipine                                                                     |                 0 |               12 |
| Cilastatin, Imipenem                                                                                 |                 0 |                1 |
| Retinol, Alpha-Tocopherol                                                                            |                 0 |                1 |
| Dorzolamide                                                                                          |                 0 |                4 |
| Thiamine Hydrochloride, Ascorbic Acid, Nicotinamide, Riboflavin, Glucose Monohydrate, Pyridoxine Hyd |                 0 |                1 |
| Fluvoxamine Maleate                                                                                  |                 0 |                1 |
| Iopamidol                                                                                            |                 0 |                6 |
| Allopurinol                                                                                          |                 0 |                3 |
| Memantine Hydrochloride                                                                              |                 0 |               15 |
| Pantoprazole                                                                                         |                 0 |               15 |
| Clindamycin, Tretinoin                                                                               |                 0 |                2 |
| Selexipag                                                                                            |                 0 |                1 |
| Econazole Nitrate                                                                                    |                 0 |                5 |
| Tolvaptan                                                                                            |                 0 |                5 |
| Gallium (67ga) Citrate                                                                               |                 0 |                2 |
| Ivermectin                                                                                           |                 0 |                2 |
| Amlodipine, Perindopril Arginine                                                                     |                 0 |                1 |
| Metoclopramide                                                                                       |                 0 |                1 |
| Calcium Folinate Hydrate                                                                             |                 0 |                1 |
| Phenothrin                                                                                           |                 0 |                1 |
| Cytarabine                                                                                           |                 0 |                2 |
| Sodium Glycerophosphate Pentahydrate                                                                 |                 0 |                1 |
| Erlotinib                                                                                            |                 0 |                2 |
| Urofollitropin                                                                                       |                 0 |                1 |
| Granisetron Hydrochloride                                                                            |                 0 |                2 |
| Levetiracetam                                                                                        |                 0 |                8 |
| Articaine Hydrochloride, Epinephrine Bitartrate                                                      |                 0 |                2 |
| Montelukast                                                                                          |                 0 |               16 |
| Carnitine                                                                                            |                 0 |                1 |
| Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate                                      |                 0 |                2 |
| Dexamethasone Sodium Phosphate, Gentamicin Sulfate                                                   |                 0 |                2 |
| Spiramycin                                                                                           |                 0 |                1 |
| Extract Of Iberis Amara (1 : 1.5 - 2.5), Extracting Agent: Ethanol 50 % (V/V), Liquid Extract Of Car |                 0 |                1 |
| Voriconazole                                                                                         |                 0 |                8 |
| Liquid Paraffin                                                                                      |                 0 |                2 |
| B/Phuket/3073/2013-Like Virus (B/Phuket/3073/2013, Wild Type), Influenza Virus B/Michigan/01/2021, I |                 0 |                2 |
| Nicotine Polacrilex                                                                                  |                 0 |                3 |
| Centella Asiatica Extract                                                                            |                 0 |                1 |
| Prucalopride                                                                                         |                 0 |                1 |
| Dimercaptosuccinic Acid                                                                              |                 0 |                2 |
| Tapentadol Hydrochloride                                                                             |                 0 |                4 |
| Ibandronic Acid                                                                                      |                 0 |                5 |
| Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate, Sod |                 0 |                3 |
| Ciclopirox Olamine                                                                                   |                 0 |                3 |
| Retinol Palmitate                                                                                    |                 0 |                1 |
| Donepezil Hydrochloride                                                                              |                 0 |               31 |
| Thiamazole                                                                                           |                 0 |                1 |
| Iodixanol                                                                                            |                 0 |                1 |
| Alfuzosin Hydrochloride                                                                              |                 0 |                9 |
| Meloxicam                                                                                            |                 0 |               31 |
| Brivaracetam                                                                                         |                 0 |                4 |
| Paliperidone Palmitate                                                                               |                 0 |                4 |
| Clindamycin Hydrochloride                                                                            |                 0 |                1 |
| Salmeterol                                                                                           |                 0 |                2 |
| E.Coli Extract                                                                                       |                 0 |                1 |
| Tolfenamic Acid                                                                                      |                 0 |                1 |
| Gadoxetic Acid, Disodium                                                                             |                 0 |                1 |
| Ivabradine                                                                                           |                 0 |                2 |
| Amlodipine, Hydrochlorothiazide, Ramipril                                                            |                 0 |                1 |
| Methylphenidate Hydrochloride                                                                        |                 0 |                1 |
| Calcium Chloride, Icodextrin, Sodium Chloride, Magnesium Chloride, Sodium-L-Lactate                  |                 0 |                2 |
| Perindopril Tert-Butylamine, Indapamide                                                              |                 0 |                1 |
| Cyclopentolate Hydrochloride                                                                         |                 0 |                1 |
| Sodium Fluoride                                                                                      |                 0 |                1 |
| Ergometrine Maleate                                                                                  |                 0 |                2 |
| Tropicamide                                                                                          |                 0 |                2 |
| Goserelin Acetate                                                                                    |                 0 |                1 |
| Letrozole                                                                                            |                 0 |               12 |
| Argipressin                                                                                          |                 0 |                1 |
| Modafinil                                                                                            |                 0 |                1 |
| Carglumic Acid                                                                                       |                 0 |                3 |
| Potassium Chloride                                                                                   |                 0 |                3 |
| Sorbitol, Liquid (Crystallising), Sodium Citrate, Sodium Lauryl Sulfoacetate 70%                     |                 0 |                1 |
| Everolimus                                                                                           |                 0 |                6 |
| Vildagliptin                                                                                         |                 0 |               12 |
| Liothyronine Sodium, Levothyroxine Sodium                                                            |                 0 |                1 |
| Azithromycin                                                                                         |                 0 |               29 |
| Neostigmine Methylsulfate                                                                            |                 0 |                1 |
| Celecoxib                                                                                            |                 0 |                1 |
| Propylthiouracil                                                                                     |                 0 |                1 |
| Dimenhydrinate                                                                                       |                 0 |                5 |
| Tamsulosin Hydrochloride, Solifenacin Succinate                                                      |                 0 |                7 |
| Flecainide Acetate                                                                                   |                 0 |                5 |
| Hyoscine Butylbromide                                                                                |                 0 |                3 |
| Magnesium Aspartate Dihydrate, Magnesium Citrate                                                     |                 0 |                8 |
| Betamethasone Acetate, Betamethasone Sodium Phosphate                                                |                 0 |                1 |
| Ofloxacin                                                                                            |                 0 |                2 |
| Rasagiline Tartrate                                                                                  |                 0 |                3 |
| Doconexent, Vitamin D, Icosapent, Retinol                                                            |                 0 |                1 |
| Thallium (201tl) Chloride                                                                            |                 0 |                1 |
| Flutamide                                                                                            |                 0 |                1 |
| Iobenguane (131i)                                                                                    |                 0 |                2 |
| Megestrol Acetate                                                                                    |                 0 |                1 |
| Oxytocin Synthetic                                                                                   |                 0 |                1 |
| Clarithromycin                                                                                       |                 0 |               36 |
| Salbutamol Sulfate, Ipratropium Bromide                                                              |                 0 |                2 |
| Dutasteride                                                                                          |                 0 |                5 |
| Tirofiban Hydrochloride Monohydrate                                                                  |                 0 |                2 |
| Gadodiamide                                                                                          |                 0 |                1 |
| Isotretinoin                                                                                         |                 0 |                7 |
| Amlodipine Besilate, Perindopril Arginine, Atorvastatin Calcium Trihydrate                           |                 0 |                1 |
| Methoxsalen                                                                                          |                 0 |                1 |
| Calcium Carbonate, Cholecalciferol Concentrate                                                       |                 0 |                1 |
| Peppermint Oil                                                                                       |                 0 |                1 |
| Crystalline Glucosamine Sulfate                                                                      |                 0 |                7 |
| Sodium Chloride, Succinylated Gelatin                                                                |                 0 |                1 |
| Eprosartan Mesilate                                                                                  |                 0 |                1 |
| Trimebutine Maleate                                                                                  |                 0 |                2 |
| Glycopyrronium Bromide                                                                               |                 0 |                6 |
| Lenalidomide                                                                                         |                 0 |               12 |
| Apremilast                                                                                           |                 0 |               10 |
| Misoprostol                                                                                          |                 0 |                3 |
| Carbomer 980                                                                                         |                 0 |                1 |
| Pomalidomide                                                                                         |                 0 |                9 |
| Dexamethasone Isonicotinate, Oxymetazoline Hydrochloride                                             |                 0 |                2 |
| Somatostatin                                                                                         |                 0 |                5 |
| Etoposide                                                                                            |                 0 |                2 |
| Venlafaxine Hydrochloride                                                                            |                 0 |                4 |
| Human Coagulation Factor Xiii                                                                        |                 0 |                1 |
| Lincomycin                                                                                           |                 0 |                1 |
| Azelastine Hydrochloride                                                                             |                 0 |                1 |
| Neomycin Sulfate, Prednisolone                                                                       |                 0 |                1 |
| Cefuroxime                                                                                           |                 0 |                5 |
| Propiverine Hydrochloride                                                                            |                 0 |                2 |
| Tamoxifen Citrate                                                                                    |                 0 |                3 |
| Fish Oil                                                                                             |                 0 |                2 |
| Magaldrate Anhydrous                                                                                 |                 0 |                1 |
| Betahistine Mesilate                                                                                 |                 0 |                2 |
| Octenidine Dihydrochloride, Isopropyl Alcohol, Propanol                                              |                 0 |                1 |
| Ranitidine Hydrochloride                                                                             |                 0 |                9 |
| Docetaxel                                                                                            |                 0 |                6 |
| Tetrafluoroborate                                                                                    |                 0 |                1 |
| Flurbiprofen                                                                                         |                 0 |                7 |
| Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Infl |                 0 |                2 |
| Albendazole                                                                                          |                 0 |                1 |
| Meclozine Hydrochloride                                                                              |                 0 |                1 |
| Botulinum Toxin Type A                                                                               |                 0 |                3 |
| Oxygen                                                                                               |                 0 |               12 |
| Citalopram Hydrobromide                                                                              |                 0 |               12 |
| Saccharomyces Boulardii cncm I-745 Lyophilized                                                       |                 0 |                1 |
| Dry Extract Of Valerian Root (4-6.7:1), Extraction Solvent: Ethanol 70% (V/V), Dry Extract From Hop  |                 0 |                1 |
| Tiotropium Bromide                                                                                   |                 0 |                1 |
| Gabapentin                                                                                           |                 0 |                6 |
| Isosorbide 5 Mononitrate                                                                             |                 0 |                2 |
| Amlodipine Besilate, Candesartan Cilexetil                                                           |                 0 |                2 |
| Methadone Hydrochloride                                                                              |                 0 |                1 |
| Calcium Acetate                                                                                      |                 0 |                1 |
| Pentetic Acid                                                                                        |                 0 |                1 |
| Colistimethate Sodium                                                                                |                 0 |                7 |
| Sodium Chloride                                                                                      |                 0 |               16 |
| Eplerenone                                                                                           |                 0 |                8 |
| Trifluoperazine                                                                                      |                 0 |                1 |
| Glyceryl Trinitrate                                                                                  |                 0 |                6 |
| Latanoprost, Timolol                                                                                 |                 0 |                1 |
| Apixaban                                                                                             |                 0 |               26 |
| Minoxidil                                                                                            |                 0 |               14 |
| Carbocisteine, Sobrerol                                                                              |                 0 |                1 |
| Desogestrel, Ethinylestradiol                                                                        |                 0 |                3 |
| Sodium Valproate                                                                                     |                 0 |                2 |
| Ethylenediamine-N,n'-Diacetic Acid                                                                   |                 0 |                1 |
| Varicella Virus Oka/Merck Strain, (Live, Attenuated) Produced In Human Diploid (Mrc-5) Cells         |                 0 |                1 |
| Human Coagulation Factor Ix, Protein C, Human Coagulation Factor Vii, Protein S, Human Coagulation F |                 0 |                1 |
| Lidocaine, Tetracaine                                                                                |                 0 |                1 |
| Azacitidine                                                                                          |                 0 |                4 |
| Nebivolol Hydrochloride                                                                              |                 0 |                2 |
| Ceftriaxone Disodium Salt Hemiheptahydrate                                                           |                 0 |                1 |
| Proguanil Hydrochloride, Atovaquone                                                                  |                 0 |                1 |
| Dienogest                                                                                            |                 0 |                1 |
| Tafluprost                                                                                           |                 0 |                2 |
| Finasteride                                                                                          |                 0 |               12 |
| Hydroxyzine Dihydrochloride                                                                          |                 0 |                1 |
| Lyophilized Bacterial Lysates Of: Haemophilus Influenzae Streptococcus (Diplococcus) Pneumoniae Kleb |                 0 |                1 |
| Benzyl Benzoate                                                                                      |                 0 |                1 |
| Nystatin                                                                                             |                 0 |                1 |
| Chlorphenamine Maleate, Sodium Cromoglicate                                                          |                 0 |                3 |
| Ramipril, Rosuvastatin                                                                               |                 0 |                1 |
| Disodium Phosphate Dodecahydrate, Sodium Dihydrogen Phosphate Dihydrate                              |                 0 |                6 |
| Fluoxetine                                                                                           |                 0 |                8 |
| Indium In-111 Pentetreotide                                                                          |                 0 |                1 |
| Adenosine                                                                                            |                 0 |                1 |
| Mebendazole                                                                                          |                 0 |                1 |
| Bortezomib                                                                                           |                 0 |                9 |
| Oxybutynin Hydrochloride                                                                             |                 0 |                1 |
| Cisatracurium                                                                                        |                 0 |                1 |
| Rosuvastatin Calcium                                                                                 |                 0 |                4 |
| Dry Extract Of Marshmallow Root (Der 7-9:1), Extraction Solvent Water, Dry Extract Of Thyme (7-13:1) |                 0 |                2 |
| Tinzaparin Sodium                                                                                    |                 0 |                2 |
| Fusidic Acid, Betamethasone                                                                          |                 0 |                3 |
| Isoniazid, Rifampicin                                                                                |                 0 |                1 |
| Amitriptyline Hydrochloride, Perphenazine                                                            |                 0 |                1 |
| Calcitonin (Salmon)                                                                                  |                 0 |                3 |
| Pefloxacin Mesilate                                                                                  |                 0 |                1 |
| Colecalciferol Concentrate (Oily Form)                                                               |                 0 |                1 |
| Sitagliptin Hydrochloride                                                                            |                 0 |                1 |
| Epinephrine Bitartrate                                                                               |                 0 |                1 |
| Trientine                                                                                            |                 0 |                1 |
| Glucose, Anhydrous                                                                                   |                 0 |                1 |
| Lansoprazole                                                                                         |                 0 |                6 |
| Aniracetam                                                                                           |                 0 |                2 |
| Milrinone                                                                                            |                 0 |                1 |
| Carbimazole                                                                                          |                 0 |                1 |
| Pitavastatin                                                                                         |                 0 |               11 |
| Desmopressin                                                                                         |                 0 |                3 |
| Ethanol 70% (V/V)                                                                                    |                 0 |                1 |
| Vancomycin Hydrochloride                                                                             |                 0 |                5 |
| Human Anti-D Immunoglobulin                                                                          |                 0 |                1 |
| Lidocaine Hydrochloride Monohydrate, Ceftriaxone Disodium Salt Hemiheptahydrate                      |                 0 |                1 |
| Atropine Sulfate Monohydrate                                                                         |                 0 |                1 |
| Ceftazidime                                                                                          |                 0 |                8 |
| Procaine Hydrochloride                                                                               |                 0 |                1 |
| Diclofenac Sodium                                                                                    |                 0 |               37 |
| Tacrolimus                                                                                           |                 0 |                4 |
| Fesoterodine                                                                                         |                 0 |                1 |
| Zuclopenthixol Hydrochloride                                                                         |                 0 |                1 |
| Norepinephrine                                                                                       |                 0 |                1 |
| Chlorphenamine Maleate                                                                               |                 0 |                3 |
| Ramipril                                                                                             |                 0 |                3 |
| Dipotassium Clorazepate                                                                              |                 0 |                1 |
| Testosterone Undecanoate                                                                             |                 0 |                1 |
| Fluorothymidine F-18                                                                                 |                 0 |                1 |
| Indigo Carmine                                                                                       |                 0 |                1 |
| Adapalene                                                                                            |                 0 |                1 |
| Maprotiline Hydrochloride                                                                            |                 0 |                1 |
| Bisoprolol Fumarate, Perindopril Arginine                                                            |                 0 |                1 |
| Oxaliplatin                                                                                          |                 0 |                9 |
| Ciprofloxacin Lactate                                                                                |                 0 |                6 |
| Ropivacaine Hydrochloride                                                                            |                 0 |                3 |
| Dry Extract From Ivy Leaf (5-7.5:1), Extraction Solvent: Ethanol: 30% (M/M)                          |                 0 |                1 |
| Timolol, Tafluprost                                                                                  |                 0 |                1 |
| Iron, Ion (Fe3+)                                                                                     |                 0 |                1 |
| Aminophylline Dihydrate                                                                              |                 0 |                1 |
| Metformin Hydrochloride, Linagliptin                                                                 |                 0 |                2 |
| Calcifediol Monohydrate                                                                              |                 0 |                2 |
| Passiflora Incarnata Dry Extract                                                                     |                 0 |                1 |
| Codeine Phosphate, Ephedrine Hydrochloride                                                           |                 0 |                1 |
| Simvastatin                                                                                          |                 0 |               46 |
| Ephedrine Hydrochloride                                                                              |                 0 |                1 |
| Triamcinolone Acetonide, Salicylic Acid                                                              |                 0 |                2 |
| Glucosamine Sulfate Sodium Chloride                                                                  |                 0 |                9 |
| Landiolol Hydrochloride                                                                              |                 0 |                1 |
| Anastrozole                                                                                          |                 0 |                7 |
| Midazolam Hydrochloride                                                                              |                 0 |                3 |
| Deoxycholic Acid                                                                                     |                 0 |                1 |
| Sodium Molybdate Dihydrate, Zinc Chloride, Ferric Chloride Hexahydrate, Potassium Iodide, Sodium Flu |                 0 |                1 |
| Estriol                                                                                              |                 0 |                2 |
| Valsartan, Indapamide                                                                                |                 0 |                1 |
| Human Albumin As Macroaggregates                                                                     |                 0 |                1 |
| Lidocaine Hydrochloride                                                                              |                 0 |                6 |
| Atorvastatin, Ezetimibe                                                                              |                 0 |               18 |
| Naphazoline Nitrate, Zinc Sulphate                                                                   |                 0 |                1 |
| Cefoxitin Sodium                                                                                     |                 0 |                2 |
| Prednisolone Sodium Phosphate                                                                        |                 0 |                5 |
| Diclofenac Diethylamine                                                                              |                 0 |                8 |
| Sumatriptan Succinate                                                                                |                 0 |                1 |
| Ferrous (Ii) Glycine Sulfate Complex                                                                 |                 0 |                1 |
| Zopiclone                                                                                            |                 0 |                1 |
| Hydrocortisone, Oxytetracycline                                                                      |                 0 |                1 |
| Luteinising Hormone (Human), Follicle-Stimulating Hormone                                            |                 0 |                2 |
| Chloroprocaine Hydrochloride                                                                         |                 0 |                2 |
| Racementhol, Eucalyptus Oil, Methyl Salicylate, Turpentine Oil                                       |                 0 |                1 |
| Diphtheria Toxoid, Tetanus Toxoid, Haemophilus Type B Conjugate Vaccine (Tetanus Toxoid Conjugate),  |                 0 |                1 |
| Terlipressin Acetate                                                                                 |                 0 |                1 |
| Fluoride                                                                                             |                 0 |                1 |
| Indapamide                                                                                           |                 0 |                1 |
| Acetylsalicylic Acid, Rosuvastatin Calcium                                                           |                 0 |                1 |
| Bisoprolol Fumarate, Acetylsalicylic Acid                                                            |                 0 |                2 |
| Orphenadrine Citrate, Paracetamol, Acetylsalicylic Acid, Caffeine                                    |                 0 |                1 |
| Ciprofloxacin Hydrated                                                                               |                 0 |                1 |
| Rocuronium Bromide                                                                                   |                 0 |                2 |
| Drospirenone, Ethinylestradiol                                                                       |                 0 |                4 |
| Timolol Maleate, Latanoprost                                                                         |                 0 |                8 |
| Frovatriptan                                                                                         |                 0 |                2 |
| Iron Protein Succinylate, Calcium Folinate Pentahydrate                                              |                 0 |                1 |
| Amiloride Hydrochloride, Furosemide                                                                  |                 0 |                1 |
| Metamizole Sodium Monohydrate                                                                        |                 0 |                1 |
| Cabazitaxel                                                                                          |                 0 |                3 |
| Parecoxib Sodium                                                                                     |                 0 |                1 |
| Cloxacillin                                                                                          |                 0 |                1 |
| Simeticone, Charcoal, Activated                                                                      |                 0 |                2 |
| Entacapone, Levodopa, Carbidopa Monohydrate                                                          |                 0 |                2 |
| Treosulfan                                                                                           |                 0 |                1 |
| Glucagon                                                                                             |                 0 |                2 |
| Lactose Monohydrate                                                                                  |                 0 |                1 |
| Amylmetacresol, Lidocaine, 2,4 Dichlorobenzyl Alcohol                                                |                 0 |                1 |
| Miconazole Nitrate, Hydrocortisone                                                                   |                 0 |                1 |
| Capsaicin                                                                                            |                 0 |                4 |
| Deferiprone                                                                                          |                 0 |                1 |
| Sodium Lactate Solution, Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate             |                 0 |                1 |
| Estradiol Hemihydrate                                                                                |                 0 |                1 |
| Valsartan, Amlodipine                                                                                |                 0 |                5 |
