code,description,category
X604051,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΜΕΣΑΙΑ, ΤΡΑΥΜΑΤΑ ΑΥΧΕΝΑ, ΑΚΡΑΣ ΧΕΙΡΟΣ, ΑΚΡΟΥ ΠΟΔΑ ΚΑΙ/Ή ΕΞΩΤΕΡΙΚΩΝ ΓΕΝΝΗΤΙΚΩΝ ΟΡΓΑΝΩΝ· 20.1 ΕΩΣ 30.0 cm",Β
X604053,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΜΕΣΑΙΑ, ΤΡΑΥΜΑΤΑ ΑΥΧΕΝΑ, ΑΚΡΑΣ ΧΕΙΡΟΣ, ΑΚΡΟΥ ΠΟΔΑ ΚΑΙ/Ή ΕΞΩΤΕΡΙΚΩΝ ΓΕΝΝΗΤΙΚΩΝ ΟΡΓΑΝΩΝ· ΑΝΩ ΤΩΝ 30 cm",Β
X604061,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΜΕΣΑΙΑ, ΤΡΑΥΜΑΤΑ ΠΡΟΣΩΠΟΥ, ΩΤΩΝ, ΒΛΕΦΑΡΩΝ, ΤΗ ΡΙΝΟΣ, ΧΕΙΛΕΩΝ ΚΑΙ/Ή ΒΛΕΝΝΟΓΟΝΩΝ·2.5 cm Ή ΛΙΓΟΤΕΡΟ",Β
X604063,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΜΕΣΑΙΑ, ΤΡΑΥΜΑΤΑ ΠΡΟΣΩΠΟΥ, ΩΤΩΝ, ΒΛΕΦΑΡΩΝ, ΤΗ ΡΙΝΟΣ, ΧΕΙΛΕΩΝ ΚΑΙ/Ή ΒΛΕΝΝΟΓΟΝΩΝ· 2.6 ΕΩΣ 5.0 cm",Β
X604065,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΜΕΣΑΙΑ, ΤΡΑΥΜΑΤΑ ΠΡΟΣΩΠΟΥ, ΩΤΩΝ, ΒΛΕΦΑΡΩΝ, ΤΗ ΡΙΝΟΣ, ΧΕΙΛΕΩΝ ΚΑΙ/Ή ΒΛΕΝΝΟΓΟΝΩΝ· 5.1 ΕΩΣ 7.5 cm",Β
X604067,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΜΕΣΑΙΑ, ΤΡΑΥΜΑΤΑ ΠΡΟΣΩΠΟΥ, ΩΤΩΝ, ΒΛΕΦΑΡΩΝ, ΤΗ ΡΙΝΟΣ, ΧΕΙΛΕΩΝ ΚΑΙ/Ή ΒΛΕΝΝΟΓΟΝΩΝ· 7.6 ΕΩΣ 12.5 cm",Β
X604069,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΜΕΣΑΙΑ, ΤΡΑΥΜΑΤΑ ΠΡΟΣΩΠΟΥ, ΩΤΩΝ, ΒΛΕΦΑΡΩΝ, ΤΗ ΡΙΝΟΣ, ΧΕΙΛΕΩΝ ΚΑΙ/Ή ΒΛΕΝΝΟΓΟΝΩΝ· 12.6 ΕΩΣ 20.0 cm",Β
X604071,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΜΕΣΑΙΑ, ΤΡΑΥΜΑΤΑ ΠΡΟΣΩΠΟΥ, ΩΤΩΝ, ΒΛΕΦΑΡΩΝ, ΤΗ ΡΙΝΟΣ, ΧΕΙΛΕΩΝ ΚΑΙ/Ή ΒΛΕΝΝΟΓΟΝΩΝ· 20.1 ΕΩΣ 30.0 cm",Β
X604073,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΜΕΣΑΙΑ, ΤΡΑΥΜΑΤΑ ΠΡΟΣΩΠΟΥ, ΩΤΩΝ, ΒΛΕΦΑΡΩΝ, ΤΗ ΡΙΝΟΣ, ΧΕΙΛΕΩΝ ΚΑΙ/Ή ΒΛΕΝΝΟΓΟΝΩΝ· ΑΝΩ ΤΩΝ 30.0 cm",Β
X606159,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΣΥΝΘΕΤΗ, ΚΟΡΜΟΣ· 1.1 ΕΩΣ 2.5 cm",Β
X606161,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΣΥΝΘΕΤΗ, ΚΟΡΜΟΣ· 2.6 ΕΩΣ 7.5 cm",Β
X606163,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΣΥΝΘΕΤΗ, ΚΟΡΜΟΣ· ΚΑΘΕ ΕΠΙΠΛΕΟΝ 5 cm (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)",Β
X606199,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΣΥΝΘΕΤΗ, ΚΡΑΝΙΟ, ΑΝΩ ΑΚΡΑ, ΚΑΙ/Ή ΚΑΤΩ ΑΚΡΑ· 1.1 ΕΩΣ 2.5 cm",Β
X606201,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΣΥΝΘΕΤΗ, ΚΡΑΝΙΟ, ΑΝΩ ΑΚΡΑ, ΚΑΙ/Ή ΚΑΤΩ ΑΚΡΑ· 2.6 ΕΩΣ 7.5 cm",Β
X606203,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΣΥΝΘΕΤΗ, ΚΡΑΝΙΟ, ΑΝΩ ΑΚΡΑ, ΚΑΙ/Ή ΚΑΤΩ ΑΚΡΑ· ΚΑΘΕ ΕΠΙΠΛΕΟΝ 5 cm Ή ΛΙΓΟΤΕΡΟ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)",Β
X606221,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΣΥΝΘΕΤΗ, ΜΕΤΩΠΟ, ΠΑΡΕΙΕΣ, ΠΩΓΩΝ, ΣΤΟΜΑ, ΑΥΧΕΝΑΣ, ΜΑΣΧΑΛΗ, ΓΕΝΝΗΤΙΚΑ ΟΡΓΑΝΑ, ΑΚΡΑ ΧΕΙΡ ΚΑΙ/Ή ΑΚΡΟΣ ΠΟΥΣ·1.1 ΕΩΣ 2.5 cm",Β
X606223,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΣΥΝΘΕΤΗ, ΜΕΤΩΠΟ, ΠΑΡΕΙΕΣ, ΠΩΓΩΝ, ΣΤΟΜΑ, ΑΥΧΕΝΑΣ, ΜΑΣΧΑΛΗ, ΓΕΝΝΗΤΙΚΑ ΟΡΓΑΝΑ, ΑΚΡΑ ΧΕΙΡ ΚΑΙ/Ή ΑΚΡΟΣ ΠΟΥΣ· 2.6 ΕΩΣ 7.5 cm",Β
X606225,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΣΥΝΘΕΤΗ, ΜΕΤΩΠΟ, ΠΑΡΕΙΕΣ, ΠΩΓΩΝ, ΣΤΟΜΑ, ΑΥΧΕΝΑΣ, ΜΑΣΧΑΛΗ, ΓΕΝΝΗΤΙΚΑ ΟΡΓΑΝΑ, ΑΚΡΑ ΧΕΙΡ ΚΑΙ/Ή ΑΚΡΟΣ ΠΟΥΣ· ΓΙΑ ΚΑΘΕ ΕΠΙΠΛΕΟΝ 5 cm Ή ΛΙΓΟΤΕΡΟ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)",Β
X606259,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΣΥΝΘΕΤΗ, ΒΛΕΦΑΡΑ, ΡΙΣ, ΩΤΑ ΚΑΙ/Ή ΧΕΙΛΗ· 1.0 cm Ή ΛΙΓΟΤΕΡΟ",Β
X606261,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΣΥΝΘΕΤΗ, ΒΛΕΦΑΡΑ, ΡΙΣ, ΩΤΑ ΚΑΙ/Ή ΧΕΙΛΗ· 1.1 ΕΩΣ 2.5 cm",Β
X606263,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΣΥΝΘΕΤΗ, ΒΛΕΦΑΡΑ, ΡΙΣ, ΩΤΑ ΚΑΙ/Ή ΧΕΙΛΗ· 2.6 ΕΩΣ 7.5 cm",Β
X606265,"ΑΠΟΚΑΤΑΣΤΑΣΗ, ΣΥΝΘΕΤΗ, ΒΛΕΦΑΡΑ, ΡΙΣ, ΩΤΑ ΚΑΙ/Ή ΧΕΙΛΗ· ΚΑΘΕ ΕΠΙΠΛΕΟΝ 5 cm Ή ΛΙΓΟΤΕΡΟ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)",Β
X606279,"ΔΕΥΤΕΡΕΟΥΣΑ ΣΥΓΚΛΕΙΣΗ ΧΕΙΡΟΥΡΓΙΚΟΥ ΤΡΑΥΜΑΤΟΣ Ή ΔΙΑΣΠΑΣΗΣ ΤΡΑΥΜΑΤΟΣ, ΕΚΤΕΤΑΜΕΝΗ Ή ΣΥΝΘΕΤΗ",Β
X607959,"ΜΕΤΑΦΟΡΑ ΠΑΡΑΚΕΙΜΕΝΟΥ ΙΣΤΟΥ Ή ΑΝΑΔΙΟΡΓΑΝΩΣΗ ΙΣΤΩΝ, ΚΟΡΜΟΣ· ΑΝΩΜΑΛΙΑ 10 cm² Ή ΛΙΓΟΤΕΡΟ",Β
X607961,"ΜΕΤΑΦΟΡΑ ΠΑΡΑΚΕΙΜΕΝΟΥ ΙΣΤΟΥ Ή ΑΝΑΔΙΟΡΓΑΝΩΣΗ ΙΣΤΩΝ, ΚΟΡΜΟΣ· ΑΝΩΜΑΛΙΑ 10 ΕΩΣ 30.0 cm²",Β
X607999,"ΜΕΤΑΦΟΡΑ ΠΑΡΑΚΕΙΜΕΝΟΥ ΙΣΤΟΥ Ή ΑΝΑΔΙΟΡΓΑΝΩΣΗ ΙΣΤΩΝ, ΔΕΡΜΑ ΚΡΑΝΙΟΥ, ΑΝΩ ΚΑΙ/Ή ΚΑΤΩ ΑΚΡΑ· ΑΝΩΜΑΛΙΑ 10 cm² Ή ΛΙΓΟΤΕΡΟ",Β
X608001,"ΜΕΤΑΦΟΡΑ ΠΑΡΑΚΕΙΜΕΝΟΥ ΙΣΤΟΥ Ή ΑΝΑΔΙΟΡΓΑΝΩΣΗ ΙΣΤΩΝ, ΔΕΡΜΑ ΚΡΑΝΙΟΥ, ΑΝΩ ΚΑΙ/Ή ΚΑΤΩ ΑΚΡΑ· ΑΝΩΜΑΛΙΑ 10.1 ΕΩΣ 30.0 cm²",Β
X608039,"ΜΕΤΑΦΟΡΑ ΠΑΡΑΚΕΙΜΕΝΟΥ ΙΣΤΟΥ Ή ΑΝΑΔΙΟΡΓΑΝΩΣΗ ΙΣΤΩΝ, ΜΕΤΩΠΟ, ΠΑΡΕΙΕΣ, ΠΩΓΩΝ, ΣΤΟΜΑ, ΑΥΧΕΝΑΣ, ΜΑΣΧΑΛΗ, ΓΕΝΝΗΤΙΚΑ ΟΡΓΑΝΑ, ΑΚΡΑ ΧΕΙΡ ΚΑΙ / Ή ΑΚΡΟΣ ΠΟΥΣ· ΑΝΩΜΑΛΙΑ 10 cm² Ή ΛΙΓΟΤΕΡΟ",Β
X608041,"ΜΕΤΑΦΟΡΑ ΠΑΡΑΚΕΙΜΕΝΟΥ ΙΣΤΟΥ Ή ΑΝΑΔΙΟΡΓΑΝΩΣΗ ΙΣΤΩΝ, ΜΕΤΩΠΟ, ΠΑΡΕΙΕΣ, ΠΩΓΩΝ, ΣΤΟΜΑ, ΑΥΧΕΝΑΣ, ΜΑΣΧΑΛΗ, ΓΕΝΝΗΤΙΚΑ ΟΡΓΑΝΑ, ΑΚΡΑ ΧΕΙΡ ΚΑΙ / Ή ΑΚΡΟΣ ΠΟΥΣ· ΑΝΩΜΑΛΙΑ 10 .1 cm² ΕΩΣ 30.0 cm²",Β
X608079,"ΜΕΤΑΦΟΡΑ ΠΑΡΑΚΕΙΜΕΝΟΥ ΙΣΤΟΥ Ή ΑΝΑΔΙΟΡΓΑΝΩΣΗ ΙΣΤΩΝ, ΒΛΕΦΑΡΑ, ΡΙΝΑ, ΩΤΑ ΚΑΙ/Ή ΧΕΙΛΗ· ΕΛΑΤΤΩΜΑ 10 cm² Ή ΛΙΓΟΤΕΡΟ",Β
X608081,"ΜΕΤΑΦΟΡΑ ΠΑΡΑΚΕΙΜΕΝΟΥ ΙΣΤΟΥ Ή ΑΝΑΔΙΟΡΓΑΝΩΣΗ ΙΣΤΩΝ, ΒΛΕΦΑΡΑ, ΡΙΝΑ, ΩΤΑ ΚΑΙ/Ή ΧΕΙΛΗ· ΕΛΑΤΤΩΜΑ 10.1 ΕΩΣ 30.0 cm²",Β
X608559,"ΜΕΤΑΦΟΡΑ ΠΑΡΑΚΕΙΜΕΝΟΥ ΙΣΤΟΥ Ή ΑΝΑΔΙΟΡΓΑΝΩΣΗ ΙΣΤΩΝ, ΑΝΩ ΤΩΝ 30 cm², ΑΣΥΝΗΘΗΣ Ή ΣΥΝΘΕΤΗ, ΟΠΟΙΑΔΗΠΟΤΕ ΠΕΡΙΟΧΗ",Β
X608659,"ΚΡΗΜΝΟΣ ΔΑΚΤΥΛΟΥ ΤΟΥ ΧΕΡΙΟΥ Ή ΤΟΥ ΠΟΔΙΟΥ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΠΡΟΕΤΟΙΜΑΣΙΑΣ ΤΗΣ ΠΕΡΙΟΧΗΣ ΔΕΚΤΗ",Β
X609963,"ΧΕΙΡΟΥΡΓΙΚΗ ΠΡΟΕΤΟΙΜΑΣΙΑ Ή ΔΗΜΙΟΥΡΓΙΑ ΤΗΣ ΠΕΡΙΟΧΗΣ ΔΕΚΤΗ ΜΕ ΕΚΤΟΜΗ ΤΩΝ ΑΝΟΙΚΤΩΝ ΤΡΑΥΜΑΤΩΝ, ΤΗΣ ΕΓΚΑΥΜΑΤΙΚΗΣ ΕΣΧΑΡΑΣ Ή ΤΗΣ ΟΥΛΗΣ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΥΠΟΔΟΡΙΩΝ ΙΣΤΩΝ), Ή ΕΚΤΟΜΗ ΤΟΥ ΟΥΛΩΔΟΥΣ ΙΣΤΟΥ, ΚΟΡΜΟΣ, ΑΝΩ ΚΑΙ ΚΑΤΩ ΑΚΡΑ· ΤΑ ΠΡΩΤΑ 100 cm² Ή 1% ΤΗΣ ΣΩΜΑΤΙΚΗΣ ΕΠΙΦΑΝΕΙΑΣ ΒΡΕΦΩΝ ΚΑΙ ΠΑΙΔΙΩΝ",Β
X609965,"ΧΕΙΡΟΥΡΓΙΚΗ ΠΡΟΕΤΟΙΜΑΣΙΑ Ή ΔΗΜΙΟΥΡΓΙΑ ΤΗΣ ΠΕΡΙΟΧΗΣ ΔΕΚΤΗ ΜΕ ΕΚΤΟΜΗ ΤΩΝ ΑΝΟΙΚΤΩΝ ΤΡΑΥΜΑΤΩΝ, ΤΗΣ ΕΓΚΑΥΜΑΤΙΚΗΣ ΕΣΧΑΡΑΣ Ή ΤΗΣ ΟΥΛΗΣ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΥΠΟΔΟΡΙΩΝ ΙΣΤΩΝ), Ή ΕΚΤΟΜΗ ΤΟΥ ΟΥΛΩΔΟΥΣ ΙΣΤΟΥ, ΚΟΡΜΟΣ, ΑΝΩ ΚΑΙ ΚΑΤΩ ΑΚΡΑ· ΚΑΘΕ ΕΠΙΠΛΕΟΝ 100 cm², Ή ΜΕΡΟΣ ΑΥΤΩΝ, Ή ΚΑΘΕ ΕΠΙΠΛΕΟΝ 1% ΤΗΣ ΣΩΜΑΤΙΚΗΣ ΕΠΙΦΑΝΕΙΑΣ ΒΡΕΦΩΝ ΚΑΙ ΠΑΙΔΙΩΝ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)",Β
X609967,"ΧΕΙΡΟΥΡΓΙΚΗ ΠΡΟΕΤΟΙΜΑΣΙΑ Ή ΔΗΜΙΟΥΡΓΙΑ ΤΗΣ ΠΕΡΙΟΧΗΣ ΔΕΚΤΗ ΜΕ ΕΚΤΟΜΗ ΤΩΝ ΑΝΟΙΚΤΩΝ ΤΡΑΥΜΑΤΩΝ, ΤΗΣ ΕΓΚΑΥΜΑΤΙΚΗΣ ΕΣΧΑΡΑΣ Ή ΤΗΣ ΟΥΛΗΣ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΥΠΟΔΟΡΙΩΝ ΙΣΤΩΝ), Ή ΕΚΤΟΜΗ ΤΟΥ ΟΥΛΩΔΟΥΣ ΙΣΤΟΥ, ΠΡΟΣΩΠΟ, ΔΕΡΜΑ ΚΡΑΝΙΟΥ, ΒΛΕΦΑΡΑ, ΣΤΟΜΑ, ΑΥΧΕΝΑΣ, ΩΤΑ, ΟΦΘΑΛΜΙΚΟΙ ΚΟΓΧΟΙ, ΓΕΝΝΗΤΙΚΑ ΟΡΓΑΝΑ, ΑΚΡΑ ΧΕΙΡ, ΑΚΡΟΣ ΠΟΥΣ, ΚΑΙ/Ή ΠΟΛΛΑΠΛΟΙ ΔΑΚΤΥΛΟΙ· ΤΑ ΠΡΩΤΑ 100 cm² Ή ΤΟ 1% ΤΗΣ ΣΩΜΑΤΙΚΗΣ ΕΠΙΦΑΝΕΙΑΣ ΒΡΕΦΩΝ ΚΑΙ ΠΑΙΔΙΩΝ",Β
X609969,"ΧΕΙΡΟΥΡΓΙΚΗ ΠΡΟΕΤΟΙΜΑΣΙΑ Ή ΔΗΜΙΟΥΡΓΙΑ ΤΗΣ ΠΕΡΙΟΧΗΣ ΔΕΚΤΗ ΜΕ ΕΚΤΟΜΗ ΤΩΝ ΑΝΟΙΚΤΩΝ ΤΡΑΥΜΑΤΩΝ, ΤΗΣ ΕΓΚΑΥΜΑΤΙΚΗΣ ΕΣΧΑΡΑΣ Ή ΤΗΣ ΟΥΛΗΣ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΥΠΟΔΟΡΙΩΝ ΙΣΤΩΝ), Ή ΕΚΤΟΜΗ ΤΟΥ ΟΥΛΩΔΟΥΣ ΙΣΤΟΥ, ΠΡΟΣΩΠΟ, ΔΕΡΜΑ ΚΡΑΝΙΟΥ, ΒΛΕΦΑΡΑ, ΣΤΟΜΑ, ΑΥΧΕΝΑΣ, ΩΤΑ, ΟΦΘΑΛΜΙΚΟΙ ΚΟΓΧΟΙ, ΓΕΝΝΗΤΙΚΑ ΟΡΓΑΝΑ, ΑΚΡΑ ΧΕΙΡ, ΑΚΡΟΣ ΠΟΥΣ, ΚΑΙ/Ή ΠΟΛΛΑΠΛΟΙ ΔΑΚΤΥΛΟΙ· ΚΑΘΕ ΕΠΙΠΛΕΟΝ 100 cm², Ή ΜΕΡΟΣ ΑΥΤΩΝ, Ή ΚΑΘΕ ΕΠΙΠΛΕΟΝ 1% ΤΗΣ ΣΩΜΑΤΙΚΗΣ ΕΠΙΦΑΝΕΙΑΣ ΒΡΕΦΩΝ ΚΑΙ ΠΑΙΔΙΩΝ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)",Β
X610039,"ΛΗΨΗ ΔΕΡΜΑΤΟΣ ΓΙΑ ΔΕΡΜΑΤΙΚΟ ΑΥΤΟΜΟΣΧΕΥΜΑ ΙΣΤΙΚΗΣ ΚΑΛΛΙΕΡΓΕΙΑΣ, 100 cm² Ή ΛΙΓΟΤΕΡΟ",Β
X610059,"ΜΟΣΧΕΥΜΑ ΠΟΥ ΛΑΜΒΑΝΕΤΑΙ ΜΕ ΧΡΗΣΗ ΛΑΒΙΔΑΣ, ENA Ή ΠΟΛΛΑΠΛΟ, ΓΙΑ ΤΗΝ ΚΑΛΥΨΗ ΕΛΚΟΥΣ ΜΙΚΡΟΥ ΜΕΓΕΘΟΥΣ, ΘΗΛΗ ΔΑΚΤΥΛΟΥ, Ή ΑΛΛΗΣ ΕΛΑΧΙΣΤΗΣ ΑΝΟΙΚΤΗΣ ΕΠΙΦΑΝΕΙΑΣ (ΜΕ ΕΞΑΙΡΕΣΗ ΤΟ ΠΡΟΣΩΠΟ), ΓΙΑ ΕΛΑΤΤΩΜΑ ΕΩΣ 2 cm ΣΕ ΔΙΑΜΕΤΡΟ",Β
X610159,"ΑΥΤΟΜΟΣΧΕΥΜΑ ΜΕΡΙΚΟΥ ΠΑΧΟΥΣ, ΚΟΡΜΟΣ, ΑΝΩ ΚΑΙ ΚΑΤΩ ΑΚΡΑ, ΠΡΩΤΑ 100 cm² Ή ΛΙΓΟΤΕΡΟ, Ή 1% ΤΗΣ ΣΩΜΑΤΙΚΗΣ ΕΠΙΦΑΝΕΙΑΣ ΒΡΕΦΩΝ ΚΑΙ ΠΑΙΔΙΩΝ (ΕΚΤΟΣ 15050)",Β
X610161,"ΑΥΤΟΜΟΣΧΕΥΜΑ ΜΕΡΙΚΟΥ ΠΑΧΟΥΣ, ΚΟΡΜΟΣ, ΑΝΩ ΚΑΙ ΚΑΤΩ ΑΚΡΑ· ΓΙΑ ΚΑΘΕ ΕΠΙΠΛΕΟΝ 100 cm², Ή ΚΑΘΕ ΕΠΙΠΛΕΟΝ 1% ΤΗΣ ΣΩΜΑΤΙΚΗΣ ΕΠΙΦΑΝΕΙΑΣ ΒΡΕΦΩΝ ΚΑΙ ΠΑΙΔΙΩΝ, Ή ΜΕΡΟΣ ΑΥΤΗΣ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)",Β
X610179,"ΕΠΙΔΕΡΜΙΚΟ ΑΥΤΟΜΟΣΧΕΥΜΑ, ΚΟΡΜΟΣ, ΑΝΩ ΚΑΙ ΚΑΤΩ ΑΚΡΑ, ΠΡΩΤΑ 100 cm² Ή ΛΙΓΟΤΕΡΟ, Ή 1% ΤΗΣ ΣΩΜΑΤΙΚΗΣ ΕΠΙΦΑΝΕΙΑΣ ΒΡΕΦΩΝ ΚΑΙ ΠΑΙΔΙΩΝ",Β
X610181,"ΕΠΙΔΕΡΜΙΚΟ ΑΥΤΟΜΟΣΧΕΥΜΑ, ΚΟΡΜΟΣ, ΑΝΩ ΚΑΙ ΚΑΤΩ ΑΚΡΑ· ΚΑΘΕ ΕΠΙΠΛΕΟΝ 100 cm², Ή ΚΑΘΕ ΕΠΙΠΛΕΟΝ 1% ΤΗΣ ΣΩΜΑΤΙΚΗΣ ΕΠΙΦΑΝΕΙΑΣ ΒΡΕΦΩΝ ΚΑΙ ΠΑΙΔΙΩΝ, Ή ΜΕΡΟΣ ΑΥΤΗΣ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)",Β
X610189,"ΕΠΙΔΕΡΜΙΚΟ ΑΥΤΟΜΟΣΧΕΥΜΑ, ΠΡΟΣΩΠΟ, ΔΕΡΜΑ ΚΡΑΝΙΟΥ, ΒΛΕΦΑΡΑ, ΣΤΟΜΑ, ΑΥΧΕΝΑΣ, ΩΤΑ, ΟΦΘΑΛΜΙΚΟΙ ΚΟΓΧΟΙ, ΓΕΝΝΗΤΙΚΑ ΟΡΓΑΝΑ, ΑΚΡΑ ΧΕΙΡ, ΑΚΡΟΣ ΠΟΥΣ, ΚΑΙ/Ή ΠΟΛΛΑΠΛΟΙ ΔΑΚΤΥΛΟΙ· ΠΡΩΤΑ 100 cm² Ή ΛΙΓΟΤΕΡΟ, Ή 1% ΤΗΣ ΣΩΜΑΤΙΚΗΣ ΕΠΙΦΑΝΕΙΑΣ ΒΡΕΦΩΝ ΚΑΙ ΠΑΙΔΙΩΝ",Β
X610191,"ΕΠΙΔΕΡΜΙΚΟ ΑΥΤΟΜΟΣΧΕΥΜΑ, ΠΡΟΣΩΠΟ, ΔΕΡΜΑ ΚΡΑΝΙΟΥ, ΒΛΕΦΑΡΑ, ΣΤΟΜΑ, ΡΙΝΑ, ΩΤΑ, ΟΦΘΑΛΜΙΚΟΙ ΚΟΓΧΟΙ, ΓΕΝΝΗΤΙΚΑ ΟΡΓΑΝΑ, ΑΚΡΑ ΧΕΙΡ, ΑΚΡΟΣ ΠΟΥΣ, ΚΑΙ/Ή ΠΟΛΛΑΠΛΟΙ ΔΑΚΤΥΛΟΙ· ΚΑΘΕ ΕΠΙΠΛΕΟΝ 100 cm² Ή ΚΑΘΕ ΕΠΙΠΛΕΟΝ 1% ΤΗΣ ΣΩΜΑΤΙΚΗΣ ΕΠΙΦΑΝΕΙΑΣ ΒΡΕΦΩΝ ΚΑΙ ΠΑΙΔΙΩΝ, Ή ΜΕΡΟΣ ΑΥΤΗΣ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)",Β
X610199,"ΑΥΤΟΜΟΣΧΕΥΜΑ ΜΕΡΙΚΟΥ ΠΑΧΟΥΣ, ΠΡΟΣΩΠΟ, ΔΕΡΜΑ ΚΡΑΝΙΟΥ, ΒΛΕΦΑΡΑ, ΣΤΟΜΑ, ΑΥΧΕΝΑΣ, ΩΤΑ, ΟΦΘΑΛΜΙΚΟΙ ΚΟΓΧΟΙ, ΓΕΝΝΗΤΙΚΑ ΟΡΓΑΝΑ, ΑΚΡΑ ΧΕΙΡ, ΑΚΡΟΣ ΠΟΥΣ, ΚΑΙ/Ή ΠΟΛΛΑΠΛΟΙ ΔΑΚΤΥΛΟΙ· ΠΡΩΤΑ 100 cm² Ή ΛΙΓΟΤΕΡΟ, Ή 1% ΤΗΣ ΣΩΜΑΤΙΚΗΣ ΕΠΙΦΑΝΕΙΑΣ ΒΡΕΦΩΝ ΚΑΙ ΠΑΙΔΙΩΝ (ΕΚΤΟΣ 15050)",Β
